,DATE,DocumentIdentifier,V2Tone,Themes,Organizations,FinalThemes
101,20230417121500,https://www.heraldseries.co.uk/news/national/23460235.king-queen-consort-pick-coronation-quiche-celebratory-recipe/,0.150375939849624,TAX_FNCACT;TAX_FNCACT_OFFICIAL;MEDIA_SOCIAL;TAX_FNCACT_QUEEN;TAX_FOODSTAPLES;TAX_FOODSTAPLES_RICE;TAX_FNCACT_CHEF;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;TAX_FOODSTAPLES_POTATOES;TAX_ETHNICITY;TAX_ETHNICITY_FRENCH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_FRENCH;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES_GERMAN;ENV_METALS;TAX_WORLDINSECTS;TAX_WORLDINSECTS_DELIA;TAX_AGRICULHARMINSECTS;TAX_AGRICULHARMINSECTS_DELIA;TAX_DISEASE;TAX_DISEASE_PLAGUE;TAX_FOODSTAPLES_MILK;TAX_FOODSTAPLES_EGGS;CRISISLEX_CRISISLEXREC;,['twitter inc'],"TAX_FOODSTAPLES,TAX_ETHNICITY,TAX_DISEASE"
104,20230417121500,https://www.dailystar.co.uk/tech/news/worlds-most-disturbing-website-can-29729794,0.0,TAX_FNCACT;TAX_FNCACT_STALKER;CRIME_COMMON_ROBBERY;TAX_FNCACT_THIEVES;ECON_IDENTITYTHEFT;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIA;TAX_ECON_PRICE;MEDIA_SOCIAL;,"['google', 'twitter inc']",CRIME_COMMON_ROBBERY
114,20230417121500,https://twitchy.com/fuzzychimp-313137/2023/04/17/snl-identifies-as-not-funny-pushes-trans-activism-on-kids-instead-of-doing-comedy/,0.936768149882905,EPU_POLICY;EPU_POLICY_POLITICAL;KILL;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT;TAX_FNCACT_ACTIVIST;TAX_FNCACT_COMEDIAN;TAX_FNCACT_PREACHER;MANMADE_DISASTER_IMPLIED;TAX_RELIGION;TAX_RELIGION_CHURCH;TAX_FNCACT_WOMAN;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICANS;USPEC_POLITICS_GENERAL1;USPEC_UNCERTAINTY1;TAX_FNCACT_ACTIVISTS;TAX_FNCACT_CHILDREN;TAX_FNCACT_ACTIVISTS;ARREST;SOC_GENERALCRIME;CRISISLEX_C07_SAFETY;LEGISLATION;EPU_POLICY_LAW;TAX_FNCACT_PORTER;MEDIA_SOCIAL;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;GENERAL_HEALTH;MEDICAL;EPU_CATS_HEALTHCARE;TAX_DISEASE;TAX_DISEASE_MENTAL_ILLNESS;EXTREMISM;,['twitter inc'],"KILL,PROTEST,MOVEMENT_GENERAL,MANMADE_DISASTER_IMPLIED,ARREST,SOC_GENERALCRIME,LEGISLATION,GENERAL_HEALTH,MEDICAL,TAX_DISEASE,EXTREMISM"
116,20230417121500,https://finance.yahoo.com/news/endo-announces-launch-argatroban-injection-114500134.html,-0.493827160493827,EPU_CATS_HEALTHCARE;EPU_ECONOMY_HISTORIC;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_2433_CONFLICT_AND_VIOLENCE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2456_DRUGS_AND_NARCOTICS;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_VICE_PRESIDENT;TAX_FNCACT_SENIOR_VICE_PRESIDENT;TAX_FNCACT_MANAGER;TAX_FNCACT_GENERAL_MANAGER;WB_1358_GENERIC_DRUGS;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;CRISISLEX_C03_WELLBEING_HEALTH;MEDIA_SOCIAL;SOC_INNOVATION;TAX_FNCACT_LEADERS;EPU_POLICY;EPU_POLICY_REFORM;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;LEGISLATION;USPEC_POLICY1;EPU_POLICY_LEGISLATION;WB_699_URBAN_DEVELOPMENT;WB_1707_CONTINGENCY_PLANNING;WB_820_DISASTER_RISK_MANAGEMENT;WB_1705_DISASTER_PREPAREDNESS;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_406_COMPETITION_POLICY;WB_2101_ANTITRUST;EPU_CATS_REGULATION;WB_449_FISCAL_RISKS;WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES;WB_1145_CONTINGENT_LIABILITIES;WB_445_FISCAL_POLICY;NEGOTIATIONS;WB_2473_DIPLOMACY_AND_NEGOTIATIONS;WB_939_NEGOTIATION;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_936_ALTERNATIVE_DISPUTE_RESOLUTION;WB_843_DISPUTE_RESOLUTION;WB_2471_PEACEKEEPING;UNGP_FORESTS_RIVERS_OCEANS;WB_698_TRADE;TAX_FNCACT_PHYSICIAN;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;EPU_POLICY_LAW;TAX_FNCACT_REGULATORS;,['endo international plc'],"GENERAL_HEALTH,MEDICAL,TAX_ETHNICITY,LEGISLATION,NEGOTIATIONS"
118,20230417121500,https://www.bernama.com/en/business/news.php?id=2182531,3.60655737704918,ECON_MOU;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;CRISISLEX_C07_SAFETY;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_EXECUTIVE_OFFICER;TAX_FNCACT_CHIEF_EXECUTIVE_OFFICER;TAX_FNCACT_EMPLOYEES;MEDIA_MSM;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;,['facebook inc'],GENERAL_GOVERNMENT
126,20230417121500,https://baptistnews.com/article/what-do-we-do-when-the-thrill-is-gone/,0.217627856365615,TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;NATURAL_DISASTER;NATURAL_DISASTER_ICE;TAX_FNCACT;TAX_FNCACT_MAN;TAX_FNCACT_PSYCHOLOGIST;MEDIA_SOCIAL;ARMEDCONFLICT;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;EPU_POLICY;EPU_POLICY_POLITICAL;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;NATURAL_DISASTER_NATURAL_DISASTERS;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;MEDIA_MSM;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;CRISISLEX_T11_UPDATESSYMPATHY;CRISISLEX_CRISISLEXREC;TAX_DISEASE;TAX_DISEASE_DEMENTIA;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DOG;TAX_FNCACT_MINISTER;TAX_RELIGION;TAX_RELIGION_CHURCH;,"['facebook inc', 'instagram', 'twitter inc']","TAX_ETHNICITY,NATURAL_DISASTER,ARMEDCONFLICT,GENERAL_HEALTH,HEALTH_PANDEMIC,EDUCATION,MANMADE_DISASTER_IMPLIED,TAX_DISEASE"
127,20230417121500,https://www.cio.com/article/228444/digital-transformation-trends.html,1.21621621621622,TAX_FNCACT;TAX_FNCACT_EMPLOYEES;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_LEADERS;TAX_FNCACT_CIO;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;ECON_DEBT;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;TAX_FNCACT_LIEUTENANTS;CRISISLEX_C07_SAFETY;TAX_FNCACT_INCUMBENT;TAX_FNCACT_GROOM;EPU_ECONOMY_HISTORIC;TAX_FNCACT_EXECUTIVE;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_VICE_PRESIDENT;TAX_FNCACT_EXECUTIVE_VICE_PRESIDENT;TAX_FNCACT_PILOT;WB_728_PUBLIC_SERVICE_DELIVERY;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_723_PUBLIC_ADMINISTRATION;WB_2098_OUTSOURCING;SOC_EMERGINGTECH;TECH_AUTOMATION;TAX_FNCACT_LEADER;TAX_FNCACT_BUSINESS_LEADER;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;WB_678_DIGITAL_GOVERNMENT;WB_652_ICT_APPLICATIONS;WB_665_SOFTWARE_AS_A_SERVICE;WB_658_ENTERPRISE_APPLICATIONS;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SCIENCE;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;TAX_ECON_PRICE;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLARS;TAX_FNCACT_SENIOR_VICE_PRESIDENT;CRISISLEX_T11_UPDATESSYMPATHY;UNGP_FORESTS_RIVERS_OCEANS;TAX_DISEASE;TAX_DISEASE_COVID;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_MANUFACTURER;TAX_FNCACT_VENDOR;TAX_FNCACT_VET;,['oracle corp'],"MANMADE_DISASTER_IMPLIED,GENERAL_HEALTH,HEALTH_PANDEMIC,ECON_DEBT,SCIENCE,TAX_DISEASE,ARMEDCONFLICT"
130,20230417121500,https://www.antigojournal.com/news/national/shooting-at-alabama-birthday-party-kills-4-people-wounds-28/article_278777a1-0b6c-5d3b-a5a6-e0dd1e8d516c.html,-1.31004366812227,EDUCATION;,"[""mcdonald's corp""]",EDUCATION
136,20230417121500,https://www.erienewsnow.com/story/48728082/alabama-investigators-piecing-together-details-of-sweet-16-birthday-party-shooting-that-left-4-dead-and-dozens-injured,-3.48727615457116,EDUCATION;,"['facebook inc', 'discovery inc']",EDUCATION
137,20230417121500,https://vaalweekblad.com/160646/vereeniging-mourns-the-loss-of-beloved-artist-teacher/,4.92753623188406,TAX_FNCACT;TAX_FNCACT_ARTIST;EDUCATION;TAX_FNCACT_TEACHER;GENERAL_HEALTH;MEDIA_SOCIAL;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;RURAL;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_STUDENT;TAX_ETHNICITY;TAX_ETHNICITY_IRISH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_IRISH;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DOG;,['facebook inc'],"EDUCATION,GENERAL_HEALTH,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY"
